country_std,pts_men,confederation,pts_women,avg_senior_pts,gender_gap,gdp_per_capita,population,hdi,log_gdp,log_population
Argentina,266.94,CSV,180.96,223.95,-85.97999999999999,13969.7836603737,45696159.0,0.865,4.145189680571345,7.659879696892381
Belgium,183.24,CEV,190.98,187.11,7.739999999999981,56614.5679499036,11858610.0,0.951,4.752928197375349,7.07403378643905
Brazil,305.87,CSV,417.92,361.895,112.05000000000001,10310.5488778166,211998573.0,0.786,4.013281785386522,8.326332937625395
Bulgaria,161.06,CEV,169.78,165.42000000000002,8.719999999999999,17596.0173663521,6441421.0,0.845,4.245414381931057,6.808981684810587
Canada,254.46,NORCECA,245.38,249.92000000000002,-9.080000000000013,54340.3477224733,41288599.0,0.939,4.73512241312987,7.615830146694225
Chile,139.14,CSV,,139.14,,16709.8893972307,19764771.0,0.878,4.222973575307433,7.295891786854426
China,144.02,AVC,346.75,245.385,202.73,13303.1481543868,1408975000.0,0.797,4.123954427755838,9.148903287319172
Colombia,,,152.37,152.37,,7919.20886825345,52886363.0,0.788,3.8986817975852635,7.723343701574825
Croatia,136.4,CEV,,136.4,,24050.4397933135,3866200.0,0.889,4.381123022417247,6.587284316492772
Cuba,249.34,NORCECA,145.17,197.255,-104.17000000000002,9605.27914559614,10979783.0,0.762,3.982509990710512,7.040593756978022
Czechia,168.95,CEV,208.84,188.89499999999998,39.890000000000015,31823.3078290564,10905028.0,0.915,4.50274531978707,7.037626785020623
Dominican Republic,125.41,NORCECA,254.02,189.715,128.61,10875.6618443092,11427557.0,0.776,4.036455695657495,7.05795339620278
"Egypt, Arab Rep.",156.94,CAVB,,156.94,,3338.47371395895,116538258.0,0.754,3.523547961091436,8.066468522020463
Finland,146.72,CEV,,146.72,,53149.7671934051,5619911.0,0.948,4.725501366566918,6.749729437897362
France,378.07,CEV,182.65,280.36,-195.42,46103.0840855884,68551653.0,0.92,4.6637299786771065,7.836017931483274
Germany,274.38,CEV,234.08,254.23000000000002,-40.29999999999998,56103.7323182554,83516593.0,0.959,4.748991753792803,7.921772769285104
Hungary,,,127.51,127.51,,23292.3263882478,9562065.0,0.87,4.367212867114411,6.980551691571168
"Iran, Islamic Rep.",185.07,AVC,,185.07,,5190.16959024821,91567738.0,0.799,3.7151815487744053,7.961742485932422
Italy,346.23,CEV,456.91,401.57000000000005,110.68,40385.3413957669,58952704.0,0.915,4.606223758522808,7.770503729793227
Japan,338.12,AVC,347.08,342.6,8.95999999999998,32487.0778047567,123975371.0,0.925,4.511710648545825,8.0933354166043
Kenya,,,152.15,152.15,,2132.43452097647,56432944.0,0.628,3.3288757044983206,7.751532707183102
"Korea, Rep.",138.48,AVC,,138.48,,36238.639908315,51751065.0,0.937,4.5591718895732605,7.7139192916915444
Mexico,,,138.42,138.42,,14185.7812248529,130861007.0,0.789,4.151853257812539,8.11681025795272
Netherlands,204.81,CEV,262.59,233.7,57.77999999999997,67520.4218956281,17993485.0,0.955,4.8294351472783035,7.255115286174353
Poland,401.31,CEV,369.04,385.175,-32.26999999999998,25103.565661423,36559233.0,0.906,4.399735412202107,7.562997075810103
Portugal,147.16,CEV,,147.16,,29292.242104753,10694681.0,0.89,4.466752614988361,7.029167835003303
Puerto Rico,135.23,NORCECA,182.58,158.905,47.35000000000002,,,,,
Qatar,151.46,AVC,,151.46,,76688.6941743178,2857822.0,0.886,4.8847313428326595,6.456035175180918
Romania,143.07,CEV,136.33,139.7,-6.739999999999981,20080.2096215595,19051804.0,0.845,4.302768242188689,7.27993610495396
Serbia,259.28,CEV,234.19,246.73499999999999,-25.089999999999975,13679.2065983557,6586476.0,0.833,4.136060908791372,6.818653113667614
Slovak Republic,,,128.54,128.54,,25992.6748502048,5422069.0,0.88,4.4148509741108315,6.734165040011081
Slovenia,352.5,CEV,142.69,247.595,-209.81,34301.0318686594,2127400.0,0.931,4.53530718500266,6.327849154905208
Sweden,,,153.59,153.59,,57117.4877440616,10569709.0,0.959,4.756769097176987,7.024063030691161
Thailand,,,173.1,173.1,,7346.62022142185,71668011.0,0.798,3.8660875898642644,7.8553253516760275
Turkiye,175.28,CEV,368.54,271.91,193.26000000000002,15892.7157287241,85518661.0,0.853,4.201198115283152,7.932060892330939
Ukraine,196.0,CEV,189.05,192.525,-6.949999999999989,5389.47314453125,37860221.0,0.779,3.731546312198554,7.578183144725516
United States,365.87,NORCECA,338.1,351.985,-27.769999999999982,84534.0407841548,340110988.0,0.938,4.927031629040928,8.531620662955014
Viet Nam,,,141.21,141.21,,4717.29028732449,100987686.0,0.766,3.6736926021952736,8.004268421027326
